,first_name,last_name,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation,Rank,age,age_group,RA_CODE_2016,RA_NAME_2016,RATIO,PERCENTAGE,Loyalty
314,Cissiee,Baylis,Female,99,Financial Services,High Net Worth,No,16,18 Dottie Park,2230,NSW,11,700,70.0,60-69,11.0,Inner Regional Australia,0.0841854,8.4185363,Bronze
315,Winn,Wells,Male,66,Manufacturing,Affluent Customer,No,9,544 Pawling Road,2230,NSW,10,785,27.0,18-29,10.0,Major Cities of Australia,0.9158146,91.5814637,Silver
316,Winn,Wells,Male,66,Manufacturing,Affluent Customer,No,9,544 Pawling Road,2230,NSW,10,785,27.0,18-29,11.0,Inner Regional Australia,0.0841854,8.4185363,Gold
317,Shara,Bramhill,U,24,IT,Affluent Customer,No,2,01 Bunker Hill Drive,2230,NSW,10,883,80.0,70+,10.0,Major Cities of Australia,0.9158146,91.5814637,Silver
318,Shara,Bramhill,U,24,IT,Affluent Customer,No,2,01 Bunker Hill Drive,2230,NSW,10,883,80.0,70+,11.0,Inner Regional Australia,0.0841854,8.4185363,Silver
319,Lyon,Brittan,Male,14,Retail,High Net Worth,No,19,540 Sachs Road,3153,VIC,8,104,49.0,40-49,20.0,Major Cities of Australia,1.0,100.0,Silver
320,Isadora,Ducker,Female,15,Financial Services,Affluent Customer,Yes,8,2972 Holy Cross Crossing,3153,VIC,5,386,48.0,40-49,20.0,Major Cities of Australia,1.0,100.0,Silver
321,Liane,Abelevitz,Female,26,Financial Services,Mass Customer,No,3,85340 Hovde Way,3153,VIC,7,951,45.0,40-49,20.0,Major Cities of Australia,1.0,100.0,Silver
322,Aridatha,Sephton,Female,95,Financial Services,Mass Customer,No,5,422 Forster Circle,2340,NSW,1,104,60.0,50-59,11.0,Inner Regional Australia,0.9394254,93.9425428,Platinum
323,Aridatha,Sephton,Female,95,Financial Services,Mass Customer,No,5,422 Forster Circle,2340,NSW,1,104,60.0,50-59,12.0,Outer Regional Australia,0.0605746,6.0574572,Platinum
324,Franciska,Stigell,Female,95,Health,Mass Customer,Yes,7,6 Anderson Junction,3802,VIC,7,111,53.0,50-59,20.0,Major Cities of Australia,1.0,100.0,Silver
325,Jordan,Clampe,Male,37,Financial Services,Mass Customer,Yes,11,276 Westend Road,4207,QLD,5,111,82.0,70+,30.0,Major Cities of Australia,0.9742321,97.4232109,Silver
326,Jordan,Clampe,Male,37,Financial Services,Mass Customer,Yes,11,276 Westend Road,4207,QLD,5,111,82.0,70+,31.0,Inner Regional Australia,0.0257679,2.5767891,Silver
327,Glenn,Casbourne,Female,4,Manufacturing,Mass Customer,No,6,2 Morrow Alley,4207,QLD,1,144,40.0,30-39,30.0,Major Cities of Australia,0.9742321,97.4232109,Bronze
328,Glenn,Casbourne,Female,4,Manufacturing,Mass Customer,No,6,2 Morrow Alley,4207,QLD,1,144,40.0,30-39,31.0,Inner Regional Australia,0.0257679,2.5767891,Bronze
329,Charlena,Berney,Female,55,Manufacturing,High Net Worth,Yes,12,496 Logan Center,4207,QLD,4,195,56.0,50-59,30.0,Major Cities of Australia,0.9742321,97.4232109,Bronze
330,Charlena,Berney,Female,55,Manufacturing,High Net Worth,Yes,12,496 Logan Center,4207,QLD,4,195,56.0,50-59,31.0,Inner Regional Australia,0.0257679,2.5767891,Bronze
331,Abigale,Sives,Female,48,Health,Affluent Customer,Yes,14,2 Glendale Center,4207,QLD,4,230,58.0,50-59,30.0,Major Cities of Australia,0.9742321,97.4232109,Bronze
332,Abigale,Sives,Female,48,Health,Affluent Customer,Yes,14,2 Glendale Center,4207,QLD,4,230,58.0,50-59,31.0,Inner Regional Australia,0.0257679,2.5767891,Bronze
333,Zechariah,McReidy,Male,32,Manufacturing,High Net Worth,No,21,797 Westend Street,4207,QLD,6,329,43.0,40-49,30.0,Major Cities of Australia,0.9742321,97.4232109,Silver
334,Zechariah,McReidy,Male,32,Manufacturing,High Net Worth,No,21,797 Westend Street,4207,QLD,6,329,43.0,40-49,31.0,Inner Regional Australia,0.0257679,2.5767891,Silver
335,Agneta,McAmish,U,66,IT,Mass Customer,No,15,5773 Acker Way,4207,QLD,6,375,80.0,70+,30.0,Major Cities of Australia,0.9742321,97.4232109,Silver
336,Agneta,McAmish,U,66,IT,Mass Customer,No,15,5773 Acker Way,4207,QLD,6,375,80.0,70+,31.0,Inner Regional Australia,0.0257679,2.5767891,Silver
337,Kearney,Cuddehy,Male,88,Retail,Mass Customer,No,12,98 Shoshone Road,4207,QLD,6,634,24.0,18-29,30.0,Major Cities of Australia,0.9742321,97.4232109,Bronze
338,Kearney,Cuddehy,Male,88,Retail,Mass Customer,No,12,98 Shoshone Road,4207,QLD,6,634,24.0,18-29,31.0,Inner Regional Australia,0.0257679,2.5767891,Bronze
339,David,Napoleon,Male,72,Financial Services,High Net Worth,No,14,69 Garrison Point,2223,NSW,11,111,60.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Silver
340,Dwayne,Doel,Male,80,Financial Services,Affluent Customer,Yes,17,5642 Debs Terrace,2223,NSW,11,401,44.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Silver
341,Dolley,Starmont,Female,53,Manufacturing,Affluent Customer,No,18,4252 Dovetail Pass,4129,QLD,6,114,44.0,40-49,30.0,Major Cities of Australia,1.0,100.0,Platinum
342,Frederik,Milan,Male,45,Health,Mass Customer,No,5,56 Riverside Street,2546,NSW,5,114,24.0,18-29,12.0,Outer Regional Australia,1.0,100.0,Platinum
343,Aldric,Birney,Male,21,Manufacturing,Mass Customer,Yes,14,5 Caliangt Center,2546,NSW,6,310,50.0,40-49,12.0,Outer Regional Australia,1.0,100.0,Bronze
344,Rollo,Louedey,Male,64,Telecommunications,Affluent Customer,Yes,17,7 Cascade Park,2089,NSW,9,114,75.0,70+,10.0,Major Cities of Australia,1.0,100.0,Silver
345,Alleen,Eaken,Female,56,Financial Services,Mass Customer,No,10,343 Lakewood Center,2089,NSW,12,259,83.0,70+,10.0,Major Cities of Australia,1.0,100.0,Platinum
346,Kippar,Brimilcome,Male,21,Health,Mass Customer,No,19,082 Welch Lane,2089,NSW,11,405,83.0,70+,10.0,Major Cities of Australia,1.0,100.0,Platinum
347,Jerrine,Cosbey,Female,21,Financial Services,High Net Worth,Yes,6,29307 Russell Avenue,3094,VIC,9,114,44.0,40-49,20.0,Major Cities of Australia,1.0,100.0,Platinum
348,Viki,Coutts,Female,2,Property,Mass Customer,Yes,7,6 Golf View Alley,2287,NSW,4,120,69.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Silver
349,Loleta,Aberdalgy,Female,45,Health,Mass Customer,No,11,99 Westend Court,2287,NSW,6,304,41.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Silver
350,Ashby,Bispham,Male,71,Retail,Affluent Customer,No,4,83716 Russell Lane,2145,NSW,8,120,40.0,30-39,10.0,Major Cities of Australia,1.0,100.0,Silver
351,Sharai,Priddie,Female,13,Retail,Mass Customer,No,9,5202 Crowley Place,2145,NSW,9,252,61.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Silver
352,Haskell,Moxted,Male,81,Manufacturing,Mass Customer,No,7,2941 Talisman Alley,2145,NSW,9,334,78.0,70+,10.0,Major Cities of Australia,1.0,100.0,Bronze
353,Aloysius,Killingsworth,Male,89,Financial Services,Mass Customer,No,12,625 Mandrake Junction,2145,NSW,9,478,65.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Silver
354,Carola,Philler,Female,73,Health,High Net Worth,No,15,1037 Roth Park,2145,NSW,7,478,70.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Bronze
355,Berenice,Kaesmakers,Female,64,Retail,Mass Customer,No,11,563 Waywood Park,2145,NSW,9,575,27.0,18-29,10.0,Major Cities of Australia,1.0,100.0,Gold
356,Cecil,Gant,Male,52,Financial Services,High Net Worth,Yes,9,22435 Barnett Court,2145,NSW,8,668,45.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Platinum
357,Jesse,Alflat,Male,31,Financial Services,High Net Worth,No,5,49 Northfield Drive,2145,NSW,9,893,37.0,30-39,10.0,Major Cities of Australia,1.0,100.0,Silver
358,Rickert,Brasted,Male,47,Health,Mass Customer,No,10,20 Hoffman Park,2145,NSW,9,898,62.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Bronze
359,Alexander,Broadbent,Male,57,Financial Services,Mass Customer,No,9,265 Stephen Trail,2209,NSW,10,120,24.0,18-29,10.0,Major Cities of Australia,1.0,100.0,Silver
360,Feodor,Vickers,Male,60,Financial Services,Mass Customer,Yes,4,40809 Truax Way,2209,NSW,6,173,32.0,30-39,10.0,Major Cities of Australia,1.0,100.0,Silver
361,Sunny,Christescu,Female,90,Financial Services,Mass Customer,No,11,6668 Blue Bill Park Plaza,2209,NSW,10,250,47.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Silver
362,Rowan,Summerly,Male,4,Entertainment,Mass Customer,No,9,58231 Tomscot Plaza,2209,NSW,10,372,47.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Bronze
363,Lanny,Currall,Male,37,Financial Services,High Net Worth,Yes,9,3 Redwing Center,2209,NSW,10,725,24.0,18-29,10.0,Major Cities of Australia,1.0,100.0,Silver
364,Ludvig,Andren,Male,44,Financial Services,High Net Worth,Yes,15,578 Waywood Circle,4306,QLD,5,125,81.0,70+,30.0,Major Cities of Australia,0.6472757,64.7275673,Bronze
365,Ludvig,Andren,Male,44,Financial Services,High Net Worth,Yes,15,578 Waywood Circle,4306,QLD,5,125,81.0,70+,31.0,Inner Regional Australia,0.2860055,28.600552,Silver
366,Ludvig,Andren,Male,44,Financial Services,High Net Worth,Yes,15,578 Waywood Circle,4306,QLD,5,125,81.0,70+,32.0,Outer Regional Australia,0.0667188,6.6718807,Silver
367,Elsworth,Abbitt,Male,71,Health,Mass Customer,Yes,6,9722 Northport Way,3500,VIC,3,125,66.0,60-69,22.0,Outer Regional Australia,1.0,100.0,Silver
368,Candy,Borsi,Female,23,Financial Services,Mass Customer,No,6,59252 Maryland Drive,3500,VIC,3,951,44.0,40-49,22.0,Outer Regional Australia,1.0,100.0,Platinum
369,Rebeca,Aggas,Female,66,Health,Affluent Customer,No,21,7026 Katie Lane,3818,VIC,1,127,69.0,60-69,21.0,Inner Regional Australia,1.0,100.0,Silver
370,Harwell,Kleinstein,Male,87,Retail,Affluent Customer,No,15,7 Huxley Trail,3818,VIC,5,420,28.0,18-29,21.0,Inner Regional Australia,1.0,100.0,Platinum
371,Ricki,Dobrowski,Male,13,Manufacturing,Mass Customer,Yes,9,8 Eggendart Pass,2835,NSW,1,127,47.0,40-49,13.0,Remote Australia,0.8990604,89.9060405,Bronze
372,Ricki,Dobrowski,Male,13,Manufacturing,Mass Customer,Yes,9,8 Eggendart Pass,2835,NSW,1,127,47.0,40-49,14.0,Very Remote Australia,0.1009396,10.0939595,Silver
373,Caron,Kezar,Female,11,Health,Mass Customer,No,5,40553 Rigney Avenue,2835,NSW,1,349,68.0,60-69,13.0,Remote Australia,0.8990604,89.9060405,Platinum
374,Caron,Kezar,Female,11,Health,Mass Customer,No,5,40553 Rigney Avenue,2835,NSW,1,349,68.0,60-69,14.0,Very Remote Australia,0.1009396,10.0939595,Silver
375,Georgetta,Lovett,Female,42,Retail,Mass Customer,No,12,1 Bluejay Place,4405,QLD,1,127,82.0,70+,31.0,Inner Regional Australia,0.9343874,93.438741,Bronze
376,Georgetta,Lovett,Female,42,Retail,Mass Customer,No,12,1 Bluejay Place,4405,QLD,1,127,82.0,70+,32.0,Outer Regional Australia,0.0656126,6.561259,Silver
377,Bambi,Cogger,Female,51,Retail,Affluent Customer,Yes,5,28970 Monument Lane,2560,NSW,7,127,31.0,30-39,10.0,Major Cities of Australia,0.9654584,96.5458439,Silver
378,Bambi,Cogger,Female,51,Retail,Affluent Customer,Yes,5,28970 Monument Lane,2560,NSW,7,127,31.0,30-39,11.0,Inner Regional Australia,0.0345416,3.4541561,Silver
379,Ange,Chitham,Female,91,Argiculture,Mass Customer,No,10,00003 Hoffman Pass,2560,NSW,8,297,31.0,30-39,10.0,Major Cities of Australia,0.9654584,96.5458439,Bronze
380,Ange,Chitham,Female,91,Argiculture,Mass Customer,No,10,00003 Hoffman Pass,2560,NSW,8,297,31.0,30-39,11.0,Inner Regional Australia,0.0345416,3.4541561,Bronze
381,Kirsteni,Gritskov,Female,66,Financial Services,Mass Customer,No,4,743 Stuart Terrace,2560,NSW,7,575,23.0,18-29,10.0,Major Cities of Australia,0.9654584,96.5458439,Silver
382,Kirsteni,Gritskov,Female,66,Financial Services,Mass Customer,No,4,743 Stuart Terrace,2560,NSW,7,575,23.0,18-29,11.0,Inner Regional Australia,0.0345416,3.4541561,Silver
383,Lynnell,Shoesmith,Female,44,Health,High Net Worth,Yes,7,5331 Ilene Parkway,2560,NSW,8,700,41.0,40-49,10.0,Major Cities of Australia,0.9654584,96.5458439,Bronze
384,Lynnell,Shoesmith,Female,44,Health,High Net Worth,Yes,7,5331 Ilene Parkway,2560,NSW,8,700,41.0,40-49,11.0,Inner Regional Australia,0.0345416,3.4541561,Bronze
385,Brendis,Pineaux,Male,12,Manufacturing,Mass Customer,No,5,43030 Carberry Way,2560,NSW,4,719,44.0,40-49,10.0,Major Cities of Australia,0.9654584,96.5458439,Bronze
386,Brendis,Pineaux,Male,12,Manufacturing,Mass Customer,No,5,43030 Carberry Way,2560,NSW,4,719,44.0,40-49,11.0,Inner Regional Australia,0.0345416,3.4541561,Bronze
387,Tyne,Anshell,Female,71,Financial Services,Mass Customer,Yes,3,93 Sutherland Terrace,2560,NSW,8,979,29.0,18-29,10.0,Major Cities of Australia,0.9654584,96.5458439,Bronze
388,Tyne,Anshell,Female,71,Financial Services,Mass Customer,Yes,3,93 Sutherland Terrace,2560,NSW,8,979,29.0,18-29,11.0,Inner Regional Australia,0.0345416,3.4541561,Bronze
389,Aurie,Rhead,Female,78,Manufacturing,Affluent Customer,Yes,5,235 Mendota Court,2650,NSW,2,127,59.0,50-59,11.0,Inner Regional Australia,0.9896289,98.9628913,Silver
390,Aurie,Rhead,Female,78,Manufacturing,Affluent Customer,Yes,5,235 Mendota Court,2650,NSW,2,127,59.0,50-59,12.0,Outer Regional Australia,0.0103711,1.0371087,Silver
391,Theresina,Borsi,Female,30,Argiculture,Mass Customer,Yes,14,253 Katie Junction,2650,NSW,2,441,35.0,30-39,11.0,Inner Regional Australia,0.9896289,98.9628913,Silver
392,Theresina,Borsi,Female,30,Argiculture,Mass Customer,Yes,14,253 Katie Junction,2650,NSW,2,441,35.0,30-39,12.0,Outer Regional Australia,0.0103711,1.0371087,Silver
393,Errick,Burgin,Male,87,Entertainment,Mass Customer,No,11,417 Killdeer Alley,2650,NSW,2,744,23.0,18-29,11.0,Inner Regional Australia,0.9896289,98.9628913,Bronze
394,Errick,Burgin,Male,87,Entertainment,Mass Customer,No,11,417 Killdeer Alley,2650,NSW,2,744,23.0,18-29,12.0,Outer Regional Australia,0.0103711,1.0371087,Bronze
395,Farris,Skettles,Male,38,Financial Services,Mass Customer,Yes,13,49309 Redwing Lane,3240,VIC,7,132,56.0,50-59,21.0,Inner Regional Australia,1.0,100.0,Silver
396,Sharline,Abyss,Female,11,Financial Services,Mass Customer,Yes,15,367 Bay Point,4011,QLD,4,133,61.0,60-69,30.0,Major Cities of Australia,1.0,100.0,Silver
397,Fonsie,Levane,Male,96,Financial Services,High Net Worth,Yes,19,83 Armistice Terrace,4011,QLD,3,163,70.0,60-69,30.0,Major Cities of Australia,1.0,100.0,Bronze
398,Nowell,Preddy,Male,29,Manufacturing,Mass Customer,No,9,932 Glendale Avenue,2173,NSW,9,133,36.0,30-39,10.0,Major Cities of Australia,1.0,100.0,Platinum
399,Padraig,Snel,Male,89,Financial Services,Mass Customer,No,19,12683 Mifflin Point,2114,NSW,7,133,51.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Silver
400,Dodi,Kiggel,Female,5,Financial Services,Mass Customer,Yes,13,05 Everett Trail,2114,NSW,11,405,41.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Bronze
401,Celia,Bryden,Female,12,Manufacturing,High Net Worth,No,21,2905 Towne Place,2114,NSW,9,450,78.0,70+,10.0,Major Cities of Australia,1.0,100.0,Silver
402,Inglebert,Butland,Male,71,Financial Services,Mass Customer,Yes,7,51837 Canary Center,2114,NSW,9,719,56.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Silver
403,Denny,Spleving,Female,84,Manufacturing,Affluent Customer,Yes,5,85420 Myrtle Road,2114,NSW,8,904,48.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Silver
404,Malorie,Votier,Female,90,Manufacturing,Affluent Customer,No,4,6160 Weeping Birch Hill,4509,QLD,5,133,31.0,30-39,30.0,Major Cities of Australia,1.0,100.0,Bronze
405,Shepperd,Ricards,Male,28,Health,Mass Customer,Yes,16,7 Oakridge Lane,2284,NSW,4,133,54.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Bronze
406,Daryl,Pauncefort,Female,12,Financial Services,Mass Customer,Yes,12,0 Dexter Parkway,2380,NSW,3,133,42.0,40-49,12.0,Outer Regional Australia,1.0,100.0,Bronze
407,Federico,Leuty,Male,59,Property,High Net Worth,Yes,11,720 Menomonie Crossing,2380,NSW,4,249,43.0,40-49,12.0,Outer Regional Australia,1.0,100.0,Silver
408,Lotty,Loach,Female,76,Health,High Net Worth,Yes,7,78451 South Street,2380,NSW,3,871,60.0,50-59,12.0,Outer Regional Australia,1.0,100.0,Silver
409,Norina,Blakeway,Female,60,Property,Mass Customer,Yes,3,75813 Lawn Lane,3081,VIC,8,133,42.0,40-49,20.0,Major Cities of Australia,1.0,100.0,Silver
410,Cami,Eitter,Female,34,Manufacturing,High Net Worth,Yes,11,1408 Hovde Circle,3081,VIC,9,551,43.0,40-49,20.0,Major Cities of Australia,1.0,100.0,Platinum
411,My,Chaston,Male,92,Manufacturing,Affluent Customer,Yes,16,74613 Northport Park,3765,VIC,9,133,55.0,50-59,20.0,Major Cities of Australia,1.0,100.0,Silver
412,Isak,Bergstram,Male,14,Health,Affluent Customer,Yes,15,68 Karstens Pass,2176,NSW,9,142,21.0,18-29,10.0,Major Cities of Australia,1.0,100.0,Silver
413,Inglebert,Aspinal,Male,4,Financial Services,Mass Customer,No,11,612 Annamark Center,2176,NSW,8,507,48.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Bronze
414,Grannie,Cracker,Male,28,Retail,Mass Customer,Yes,20,87254 Hermina Pass,4217,QLD,8,142,73.0,70+,30.0,Major Cities of Australia,1.0,100.0,Silver
415,Claudell,Rounsefell,Male,67,Financial Services,Affluent Customer,No,8,61416 Karstens Place,4217,QLD,5,444,28.0,18-29,30.0,Major Cities of Australia,1.0,100.0,Silver
416,Kylila,Basezzi,Female,94,Financial Services,Mass Customer,Yes,9,64 Armistice Point,4217,QLD,9,733,76.0,70+,30.0,Major Cities of Australia,1.0,100.0,Silver
417,Nadiya,Balasini,Female,40,Financial Services,Mass Customer,No,15,92934 Mallory Trail,2164,NSW,9,146,71.0,70+,10.0,Major Cities of Australia,1.0,100.0,Bronze
418,Tyne,Coate,Female,82,Manufacturing,Mass Customer,No,17,90820 Thackeray Street,2218,NSW,8,146,56.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Silver
419,Christie,Anders,Male,38,Retail,Mass Customer,No,16,48 Ludington Plaza,2153,NSW,10,146,52.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Silver
420,Markus,Pendrey,Male,88,Health,Affluent Customer,Yes,12,2382 Anthes Crossing,2153,NSW,10,859,62.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Silver
421,Ilise,Clissold,Female,58,Entertainment,High Net Worth,No,9,659 Comanche Plaza,2153,NSW,10,913,34.0,30-39,10.0,Major Cities of Australia,1.0,100.0,Silver
422,Agnella,Capener,Female,58,Health,High Net Worth,No,19,49185 Derek Circle,3977,VIC,6,146,52.0,50-59,20.0,Major Cities of Australia,0.9919111,99.191111,Silver
423,Agnella,Capener,Female,58,Health,High Net Worth,No,19,49185 Derek Circle,3977,VIC,6,146,52.0,50-59,21.0,Inner Regional Australia,0.0080889,0.808889,Silver
424,Alfonso,Massel,Male,70,Financial Services,Mass Customer,Yes,13,6065 Talisman Crossing,3977,VIC,7,201,81.0,70+,20.0,Major Cities of Australia,0.9919111,99.191111,Silver
425,Alfonso,Massel,Male,70,Financial Services,Mass Customer,Yes,13,6065 Talisman Crossing,3977,VIC,7,201,81.0,70+,21.0,Inner Regional Australia,0.0080889,0.808889,Silver
426,Raff,Waycott,Male,70,Manufacturing,Affluent Customer,Yes,14,94694 Eagle Crest Terrace,3977,VIC,7,259,70.0,60-69,20.0,Major Cities of Australia,0.9919111,99.191111,Platinum
427,Raff,Waycott,Male,70,Manufacturing,Affluent Customer,Yes,14,94694 Eagle Crest Terrace,3977,VIC,7,259,70.0,60-69,21.0,Inner Regional Australia,0.0080889,0.808889,Silver
428,Claudine,Dymick,Female,28,Health,Mass Customer,No,5,31675 Corry Way,3977,VIC,5,312,56.0,50-59,20.0,Major Cities of Australia,0.9919111,99.191111,Silver
429,Claudine,Dymick,Female,28,Health,Mass Customer,No,5,31675 Corry Way,3977,VIC,5,312,56.0,50-59,21.0,Inner Regional Australia,0.0080889,0.808889,Silver
430,Carolann,Raatz,Female,25,Financial Services,High Net Worth,No,21,817 Bunker Hill Place,3977,VIC,6,386,43.0,40-49,20.0,Major Cities of Australia,0.9919111,99.191111,Silver
431,Carolann,Raatz,Female,25,Financial Services,High Net Worth,No,21,817 Bunker Hill Place,3977,VIC,6,386,43.0,40-49,21.0,Inner Regional Australia,0.0080889,0.808889,Silver
432,Wyndham,Woolford,Male,1,Manufacturing,Mass Customer,No,10,9107 Pine View Plaza,3977,VIC,6,591,42.0,40-49,20.0,Major Cities of Australia,0.9919111,99.191111,Silver
433,Wyndham,Woolford,Male,1,Manufacturing,Mass Customer,No,10,9107 Pine View Plaza,3977,VIC,6,591,42.0,40-49,21.0,Inner Regional Australia,0.0080889,0.808889,Silver
434,Tomaso,Horsley,Male,97,Financial Services,Mass Customer,Yes,10,70360 Onsgard Plaza,3977,VIC,6,741,20.0,18-29,20.0,Major Cities of Australia,0.9919111,99.191111,Silver
435,Tomaso,Horsley,Male,97,Financial Services,Mass Customer,Yes,10,70360 Onsgard Plaza,3977,VIC,6,741,20.0,18-29,21.0,Inner Regional Australia,0.0080889,0.808889,Platinum
436,Bernardine,Delmonti,Female,39,Property,Mass Customer,No,17,0721 Meadow Ridge Pass,2540,NSW,8,146,50.0,40-49,11.0,Inner Regional Australia,0.991305,99.1305028,Silver
437,Bernardine,Delmonti,Female,39,Property,Mass Customer,No,17,0721 Meadow Ridge Pass,2540,NSW,8,146,50.0,40-49,91.0,Inner Regional Australia,0.008695,0.8694972,Bronze
438,Daisy,Spowart,Female,60,Health,Affluent Customer,Yes,4,115 Westridge Road,4570,QLD,3,146,54.0,50-59,31.0,Inner Regional Australia,0.9997879,99.978791,Bronze
439,Daisy,Spowart,Female,60,Health,Affluent Customer,Yes,4,115 Westridge Road,4570,QLD,3,146,54.0,50-59,32.0,Outer Regional Australia,0.0002121,0.021209,Bronze
440,Brigg,Himsworth,Male,63,Telecommunications,Mass Customer,Yes,9,771 Union Crossing,4570,QLD,6,882,48.0,40-49,31.0,Inner Regional Australia,0.9997879,99.978791,Bronze
441,Brigg,Himsworth,Male,63,Telecommunications,Mass Customer,Yes,9,771 Union Crossing,4570,QLD,6,882,48.0,40-49,32.0,Outer Regional Australia,0.0002121,0.021209,Bronze
442,Denys,Minshall,Female,30,Manufacturing,Affluent Customer,Yes,14,7 Myrtle Lane,2324,NSW,8,152,60.0,50-59,10.0,Major Cities of Australia,0.5811129,58.1112888,Bronze
443,Denys,Minshall,Female,30,Manufacturing,Affluent Customer,Yes,14,7 Myrtle Lane,2324,NSW,8,152,60.0,50-59,11.0,Inner Regional Australia,0.4188871,41.8887112,Bronze
444,Archibald,Blessed,Male,61,Financial Services,Mass Customer,Yes,18,7795 Memorial Drive,2016,NSW,11,153,53.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Silver
445,Dorotea,Fenwick,Female,74,Financial Services,High Net Worth,No,12,72 Lukken Crossing,2016,NSW,11,715,71.0,70+,10.0,Major Cities of Australia,1.0,100.0,Bronze
446,Feodor,Englishby,Male,54,Health,Mass Customer,No,11,24695 Boyd Road,3201,VIC,5,154,60.0,50-59,20.0,Major Cities of Australia,1.0,100.0,Silver
447,Gannie,Bargh,Male,56,Financial Services,Mass Customer,Yes,13,1832 Burning Wood Place,3201,VIC,7,401,67.0,60-69,20.0,Major Cities of Australia,1.0,100.0,Silver
448,Skippie,Yearsley,Male,6,Financial Services,Mass Customer,No,9,95306 John Wall Avenue,4350,QLD,5,155,65.0,60-69,31.0,Inner Regional Australia,1.0,100.0,Silver
449,Juliana,Mitchenson,Female,55,Manufacturing,Mass Customer,Yes,8,74 Russell Terrace,4350,QLD,4,166,33.0,30-39,31.0,Inner Regional Australia,1.0,100.0,Bronze
450,Art,Shardlow,Male,57,Argiculture,Mass Customer,Yes,15,7 Clemons Circle,4350,QLD,2,415,58.0,50-59,31.0,Inner Regional Australia,1.0,100.0,Bronze
451,Park,Borsi,Male,39,IT,Affluent Customer,No,14,07 Boyd Drive,4350,QLD,7,495,44.0,40-49,31.0,Inner Regional Australia,1.0,100.0,Bronze
452,Frans,Idale,Male,1,Manufacturing,Mass Customer,No,10,96 Hermina Place,4350,QLD,2,795,52.0,50-59,31.0,Inner Regional Australia,1.0,100.0,Silver
453,Hayes,Daveren,Male,32,Manufacturing,Affluent Customer,Yes,11,1 Becker Parkway,4350,QLD,2,856,68.0,60-69,31.0,Inner Regional Australia,1.0,100.0,Silver
454,Bill,Borsi,Female,74,Property,Mass Customer,Yes,19,6704 Pine View Lane,2170,NSW,9,155,58.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Silver
455,Allyson,Petchell,Female,16,Telecommunications,High Net Worth,No,10,98221 Pennsylvania Place,2170,NSW,8,191,51.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Platinum
456,Corrine,Baribal,Female,19,Financial Services,Affluent Customer,Yes,12,3 Mallory Circle,2170,NSW,8,206,73.0,70+,10.0,Major Cities of Australia,1.0,100.0,Platinum
457,Harlene,Nono,U,69,IT,Mass Customer,No,12,0307 Namekagon Crossing,2170,NSW,7,575,80.0,70+,10.0,Major Cities of Australia,1.0,100.0,Bronze
458,Dylan,Stranio,Male,47,Manufacturing,High Net Worth,Yes,9,3662 Beilfuss Lane,2170,NSW,8,773,68.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Silver
459,Erminie,Rabidge,Female,64,Manufacturing,High Net Worth,No,17,1969 Melody Lane,2170,NSW,8,801,40.0,30-39,10.0,Major Cities of Australia,1.0,100.0,Platinum
460,Tessa,Friese,Female,89,Financial Services,Mass Customer,No,21,98158 Alpine Point,4212,QLD,9,157,45.0,40-49,30.0,Major Cities of Australia,1.0,100.0,Bronze
461,Cecelia,Cisar,Female,20,Property,Mass Customer,Yes,15,665 Sachs Way,4212,QLD,7,312,36.0,30-39,30.0,Major Cities of Australia,1.0,100.0,Silver
462,Fancie,Woofendell,Female,68,Health,Mass Customer,Yes,6,8 Crowley Center,4212,QLD,7,733,55.0,50-59,30.0,Major Cities of Australia,1.0,100.0,Silver
463,Tedra,Goodbanne,Female,4,Financial Services,Mass Customer,Yes,6,8 Debs Road,3934,VIC,9,158,44.0,40-49,20.0,Major Cities of Australia,1.0,100.0,Bronze
